# rho theta Phi
1.200000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.220000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.240000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.260000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.280000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.320000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.340000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.360000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.380000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.420000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.440000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.460000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.480000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.520000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.540000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.560000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.580000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.600000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.620000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.640000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.660000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.680000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.720000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.740000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.760000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.780000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.820000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.840000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.860000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.880000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.900000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.920000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.940000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.960000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
1.980000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.472135954999579610e+00 2.677945044588986967e+00 6.206316947937011719e+00
2.828427124746190291e+00 2.356194490192344837e+00 6.428018093109130859e+00
2.000000000000000000e+00 1.570796326794896558e+00 6.544005393981933594e+00
2.828427124746190291e+00 7.853981633974482790e-01 6.427889823913574219e+00
4.472135954999579610e+00 4.636476090008060935e-01 6.205889225006103516e+00
6.324555320336759046e+00 3.217505543966421855e-01 5.966330051422119141e+00
8.246211251235321171e+00 2.449786631268641435e-01 5.723516941070556641e+00
1.019803902718556898e+01 1.973955598498807473e-01 5.480527400970458984e+00
1.216552506059643868e+01 1.651486774146268266e-01 5.238956451416015625e+00
1.414213562373095101e+01 1.418970546041639358e-01 5.000482082366943359e+00
1.612451549659709826e+01 1.243549945467614382e-01 4.767419338226318359e+00
1.811077027627483460e+01 1.106572211738956479e-01 4.543141841888427734e+00
2.009975124224177989e+01 9.966865249116202419e-02 4.332295894622802734e+00
2.209072203437452231e+01 9.065988720074510954e-02 4.140048503875732422e+00
2.408318915758459156e+01 8.314123188844123324e-02 3.952310800552368164e+00
2.607680962081059661e+01 7.677189126977804201e-02 3.660579442977905273e+00
2.807133769523639799e+01 7.130746478529031984e-02 3.552578449249267578e+00
3.006659275674581622e+01 6.656816377582380762e-02 3.529272794723510742e+00
3.206243908376279705e+01 6.241880999595735002e-02 3.510095596313476562e+00
3.405877273185280529e+01 5.875582271572269560e-02 3.491354227066040039e+00
3.605551275463989214e+01 5.549850524571683236e-02 3.472923040390014648e+00
3.805259518088089266e+01 5.258306161094172121e-02 3.454791784286499023e+00
4.004996878900157498e+01 4.995839572194275824e-02 3.436954259872436523e+00
